1,1,1615891200,10.5
2,2,1615892400,15.2
3,3,1615893600,20.7
4,4,1615894800,8.3
5,5,1615896000,12.6
6,1,1615897200,18.9
7,2,1615898400,9.8
8,3,1615899600,16.4
9,4,1615900800,22.1
10,5,1615902000,11.2
11,1,1615903200,14.3
12,2,1615904400,17.8
13,3,1615905600,23.6
14,4,1615906800,10.1
15,5,1615908000,13.9
16,1,1615909200,19.7
17,2,1615909200,11.6
18,3,1615911600,15.3
19,4,1615912800,20.2
20,5,1615914000,9.4
21,1,1615915200,12.7
22,2,1615916400,16.9
23,3,1615917600,22.5
24,4,1615918800,8.7
25,5,1615920000,11.8
26,1,1615921200,17.5
27,2,1615922400,10.2
28,3,1615923600,14.9
29,4,1615924800,19.8
30,5,1615926000,7.6
